336	12.6
349.5	25.4
2.5	37.8
15.5	50.2
28.5	62.45
41	74.5
53.5	86.5
65.75	98.45
77.75	110.2
89.8	122.1
101.6	134
113.5	146
125.5	158
137.1	170.15
149.5	183
161.75	196
174.4	209.4
187.5	223.2
201	237.75
215	252.6
229.5	267.8
244.1	283.1
259.2	298.4
274.4	313.4
289.5	328
304.1	342.1
318.55	356
332.75	9.4
346.4	22.4
359.7	35
12.6	47.4
