1  1 1    10.70  1
1  2 1    11.02  1
1  1 2    14.46  1
1  2 2    11.44  1
1  1 3    15.04  1
1  2 3    27.26  1
1  1 4    20.82  1
1  2 4    24.56  1
2  1 1    18.42  1
2  2 1    22.80  1
2  1 2    33.40  1
2  2 2    31.86  1
2  1 3    22.94  1
2  2 3    32.92  1
2  1 4    27.92  1
2  2 4    31.94  1
3  1 1     7.14  1
3  2 1    24.32  1
3  1 2     8.30  1
3  2 2     7.00  1
3  1 3     8.40  1
3  2 3    17.82  1
3  1 4     9.56  1
3  2 4    19.98  1
1  1 1     9.82  2
1  2 1    13.66  2
1  1 2    20.86  2
1  2 2    13.76  2
1  1 3    16.02  2
1  2 3    21.42  2
1  1 4    14.46  2
1  2 4    36.48  2
2  1 1    18.62  2
2  2 1    25.14  2
2  1 2    20.62  2
2  2 2    19.78  2
2  1 3    31.12  2
2  2 3    21.38  2
2  1 4    59.86  2
2  2 4    28.32  2
3  1 1     7.98  2
3  2 1    10.26  2
3  1 2     7.86  2
3  2 2     8.40  2
3  1 3    10.94  2
3  2 3    15.28  2
3  1 4    19.04  2
3  2 4    18.46  2
