1   1  1  0.99  1
1   1  2  1.15  1
1   2  1  0.97  1
1   2  2  0.87  1
1   3  1  0.95  1
1   3  2  0.91  1
2   1  1  1.00  1
2   1  2  1.12  1
2   2  1  0.99  1
2   2  2  0.96  1
2   3  1  0.97  1
2   3  2  0.94  1
3   1  1  1.24  1
3   1  2  1.12  1
3   2  1  1.15  1
3   2  2  1.11  1
3   3  1  1.03  1
3   3  2  1.12  1
4   1  1  1.24  1
4   1  2  1.32  1
4   2  1  1.14  1
4   2  2  1.20  1
4   3  1  1.02  1
4   3  2  1.02  1
1   1  1  0.93  2
1   1  2  0.99  2
1   2  1  0.91  2
1   2  2  0.86  2
1   3  1  0.86  2
1   3  2  0.85  2
2   1  1  1.17  2
2   1  2  1.13  2
2   2  1  1.04  2
2   2  2  0.98  2
2   3  1  0.95  2
2   3  2  0.99  2
3   1  1  1.22  2
3   1  2  1.15  2
3   2  1  0.95  2
3   2  2  0.95  2
3   3  1  1.01  2
3   3  2  0.96  2
4   1  1  1.20  2
4   1  2  1.24  2
4   2  1  1.10  2
4   2  2  1.19  2
4   3  1  1.01  2
4   3  2  1.00  2
