1  66.4        
1  69.2      
1  70.0     
1  71.0    
1  71.9   
1  74.2   
1  67.7  
1  69.3      
1  70.1        
1  71.1      
1  72.1     
1  74.5      
1  68.0     
1  69.3    
1  70.2   
1  71.2      
1  72.2      
1  75.3      
1  68.0      
1  69.5      
1  70.3      
1  71.3      
1  72.3      
1  68.3      
1  69.5      
1  70.3      
1  71.3   
1  72.4   
1  68.4   
1  69.6   
1  70.4   
1  71.5   
1  72.6 
1  68.6   
1  69.7   
1  70.5   
1  71.6   
1  72.7   
1  68.8   
1  69.8   
1  70.6   
1  71.6   
1  72.9   
1  68.9 
1  69.8   
1  70.6   
1  71.7   
1  73.1   
1  69.0   
1  69.9   
1  70.8   
1  71.8   
1  73.3   
1  69.1   
1  70.0 
1  70.9   
1  71.8   
1  73.5 
2     71.2   
2     71.8
2     72.6
2     72.8
2     73.4
2     73.7   
2     73.9
2     74.4
2     74.9
2     75.5   
2     75.9
2     76.3
2     76.5
2     76.7
2     76.9
2     77.1
2     77.3
2     77.6
2     77.7
2     77.8
2     78.1
2     78.2
2     78.4
2     78.6
2     79.0
2     79.3
2     79.8
