     1    214
     1    211
     1    218
     2    218
     2    217
     2    219
     3    218
     3    218
     3    217
     4    216
     4    218
     4    219
     5    217
     5    220
     5    221
     6    218
     6    219
     6    216
     7    218
     7    217
     7    217
     8    219
     8    219
     8    218
     9    216
     9    219
     9    218
    10    216
    10    218
    10    217
    11    218
    11    219
    11    220
    12    219
    12    220
    12    221
    13    217
    13    220
    13    216
    14    219
    14    219
    14    220
    15    217
    15    220
    15    218
    16    215
    16    215
    16    214
